;ООО "БаДМ" Прайс-лист от 08.02.2018;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Код товара;Наименование;Производитель;Классификация товара;Цена;Цена таможенная, грн;Уп;Срок_годн;Код товара Морион;NDS;Предоплата;ШтрихКод товара;Кратность заказа шт.
1253067;12802 Калопр.стомич.послеопер.N6 Alterna меш.откр.проз.вырез 10-100мм;Колопласт, Дания;2.5.2Изделия мед.назнач._предм. ухода_общий режим;1031,6;899;ПАЛЛЕТ-EX;01.10.2020;113627;НДС - 7%;0;5708932386388;1
1253037;13171 Калопр.стомич.двухком.пласт.Long Wear N5 Alterna флан.40мм 10-35мм;Колопласт, Дания;2.5.2Изделия мед.назнач._предм. ухода_общий режим;205,29;178,9;ЯЩ-EX;01.12.2019;111419;НДС - 7%;0;5708932379403;1
1253038;13181 Калопр.стомич.двухком.пласт.Long Wear N5 Alterna флан.50мм 10-45мм;Колопласт, Дания;2.5.2Изделия мед.назнач._предм. ухода_общий режим;205,29;178,9;ЯЩ-EX;01.05.2020;111420;НДС - 7%;0;5708932379427;1
1253039;13191 Калопр.стомич.двухком.пласт.Long WearN5 Alterna флан.60мм 10-55мм;Колопласт, Дания;2.5.2Изделия мед.назнач._предм. ухода_общий режим;205,29;178,9;ЯЩ-EX;01.03.2020;111421;НДС - 7%;0;5708932379441;1
1253053;1681 Калопр.стомич.двухком.Alterna N30 меш.закр.непроз.фланец 40мм;Колопласт, Дания;2.5.2Изделия мед.назнач._предм. ухода_общий режим;638,73;561;ЯЩ-EX;01.05.2022;113629;НДС - 7%;0;5708932379588;1
1253054;1682 Калопр.сист.двоком.меш.Alterna N30 меш.закр.непроз.розмер отв.50мм;Колопласт, Дания;2.5.2Изделия мед.назнач._предм. ухода_общий режим;654,36;570,25;ЯЩ-EX;01.10.2022;113628;НДС - 7%;0;5708932379601;1
